feature,shap_value,feature_value
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.012545593,0.0
Feature_1,-0.053371683,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.4443728,-0.8011772091899535
Feature_1,0.3721159,-1.1216808865305377
Feature_1,-0.018587664,-0.46966374492412666
Feature_1,0.58882993,-0.6816352084067048
Feature_1,-1.3899138,-1.2288537432569644
Feature_1,-0.21593758,-1.249006828531628
Feature_1,-1.2551755,-0.9139298628121623
Feature_1,-4.148397,-0.9069635835559298
Feature_1,0.0,1.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.21644267,0.0
Feature_1,-0.052808598,0.0
Feature_1,0.04251065,0.0
Feature_1,-0.14103013,1.0
Feature_1,-0.16660574,0.0
Feature_1,-0.053512402,0.0
Feature_1,0.00406483,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.02335905,0.0
Feature_1,0.024981428,0.0
Feature_1,0.0,0.0
Feature_1,-0.005872815,0.0
Feature_1,0.0,0.41072729229927063
Feature_1,0.0,0.0
Feature_1,-0.041172635,0.0
Feature_1,0.0048281383,0.0
Feature_1,-0.04779751,0.0
Feature_1,0.0,0.0
Feature_1,-0.0039508604,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.9264871,0.0
Feature_1,-0.003173405,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.09137629,0.0
Feature_1,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.18453908,0.0
Feature_2,0.0,0.0
Feature_2,0.0038870948,0.0
Feature_2,-0.081337936,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.0015747026,0.0
Feature_2,0.0068460386,0.0
Feature_2,0.0,0.0
Feature_2,-0.5052434,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.057431128,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.062192276,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.37819644808769226
Feature_2,0.0,0.0
Feature_2,0.20035528,0.2942453622817993
Feature_2,-0.023747806,0.0
Feature_2,0.0,0.0
Feature_2,0.0011315952,0.0
Feature_2,-0.0043763304,0.0
Feature_2,0.0011417975,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.007924734,0.0
Feature_2,0.0,0.0
Feature_2,-0.0043562055,0.0
Feature_2,-0.08155098,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.13320127,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.32455500960350037
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.012545593,0.0
Feature_2,-0.041509613,0.0
Feature_2,0.0,0.4981738030910492
Feature_2,0.0,0.4981738030910492
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.5913075,-1.1591539267864464
Feature_2,-0.14793295,0.8875071664257851
Feature_2,-0.0016411031,-1.1489063667908634
Feature_2,0.6455509,-1.1031533509126974
Feature_2,1.7708644,1.2622046799215598
Feature_2,0.3992154,1.3817646042323866
Feature_2,0.7426592,1.3331767576092308
Feature_2,4.0681376,1.4228291138853604
Feature_2,0.0,0.0
Feature_2,0.0,1.0
Feature_2,0.0,0.0
Feature_2,-0.17721769,0.0
Feature_2,-0.040449195,0.0
Feature_2,0.13168535,0.0
Feature_2,-0.14103013,1.0
Feature_2,-0.09848435,0.0
Feature_2,-0.027193857,0.0
Feature_2,0.018631455,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.039348636,0.0
Feature_2,0.02804292,0.0
Feature_2,0.0,0.0
Feature_2,-0.0017294579,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.010373326,0.0
Feature_2,0.020581026,0.0
Feature_2,-0.0328203,0.0
Feature_2,0.0,0.0
Feature_2,0.005791884,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.6203504,0.0
Feature_2,-0.009214105,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.031901002,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.106535956,0.0
Feature_2,0.0,0.0
Feature_2,0.00579187,0.0
Feature_2,-0.06414172,0.0
Feature_2,0.0,0.5030973553657532
Feature_2,0.0,0.0
Feature_2,0.06630526,0.0
Feature_2,0.0046469,0.0
Feature_2,0.0,0.0
Feature_2,-0.15329924,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.06961219,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.07143448,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.007071432,0.0
Feature_2,-0.005636527,0.0
Feature_2,0.0,0.0
Feature_2,0.0035591598,0.0
Feature_2,-0.03195887,0.5310566425323486
Feature_2,0.0035911836,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.0012358547,0.0
Feature_2,0.0,0.0
Feature_2,0.010015618,0.0
Feature_2,-0.02401626,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.8764937,0.4160512387752533
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.16643107,0.5401604175567627
Feature_2,-0.018108685,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,0.0,0.0
Feature_2,-0.010256824,0.6903924474620998
Feature_2,0.79310536,-0.030978800639962483
Feature_2,-0.048256062,-0.016835330346302108
Feature_2,0.7593856,0.1614010766052807
Feature_2,-0.7712905,0.01667546833229394
Feature_2,-0.18637635,-0.15285206487995526
Feature_2,-1.021452,-0.1528131042823354
Feature_2,-0.8966683,-0.019423508340200037
Feature_2,0.0,1.0
Feature_2,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.16707459,0.0
Feature_3,-0.052808598,0.0
Feature_3,0.03538669,0.0
Feature_3,-0.04502507,1.0
Feature_3,-0.2907009,0.0
Feature_3,-0.022441447,0.0
Feature_3,0.004290561,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.02147826,0.0
Feature_3,0.0131381005,0.0
Feature_3,0.0,0.0
Feature_3,-0.0017294579,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.037845336,0.0
Feature_3,0.0039763073,0.0
Feature_3,0.02625453,0.0
Feature_3,0.0,0.0
Feature_3,-0.0031997915,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.051955592,0.22971349954605103
Feature_3,-0.008356272,0.0
Feature_3,0.0,0.49328288435935974
Feature_3,0.0,0.0
Feature_3,-0.08402417,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.19582261,0.0
Feature_3,0.0,0.0
Feature_3,0.0030505068,0.0
Feature_3,-0.08740975,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0007050894,0.0
Feature_3,0.0067749238,0.0
Feature_3,0.0,0.0
Feature_3,-0.41818917,0.26564276218414307
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.8226642,0.37435612082481384
Feature_3,0.0,0.4093181788921356
Feature_3,0.0,0.0
Feature_3,-0.7582264,0.32676300406455994
Feature_3,0.0,0.0
Feature_3,0.0,0.46784576773643494
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.11154567,0.0
Feature_3,-0.023747806,0.0
Feature_3,0.0,0.0
Feature_3,0.00054943573,0.0
Feature_3,-0.018515471,0.0
Feature_3,0.0005543955,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.00304719,0.0
Feature_3,0.0,0.0
Feature_3,-7.910514e-05,0.0
Feature_3,-0.08155098,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.16191082,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.012545593,0.0
Feature_3,-0.047344975,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.39074415,1.3466830963890033
Feature_3,-0.58872795,1.0597232852506129
Feature_3,-0.019228473,-1.8281489886576003
Feature_3,1.299442,-1.5246714934186902
Feature_3,-0.616475,0.7432341750927002
Feature_3,0.6746007,1.162533651502052
Feature_3,0.4796051,0.4270853784070562
Feature_3,0.88399744,0.3134040198656986
Feature_3,0.0,0.0
Feature_3,0.0,1.0
Feature_3,0.0,0.0
Feature_3,0.6807684,1.0
Feature_3,-0.018356055,0.0
Feature_3,0.049631782,0.0
Feature_3,0.021487016,0.0
Feature_3,-0.26785386,0.0
Feature_3,-0.022327006,0.0
Feature_3,0.0054036584,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.017446214,0.0
Feature_3,0.034807555,0.0
Feature_3,0.0,0.0
Feature_3,-0.0017294579,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.0126252575,0.0
Feature_3,0.00559904,0.0
Feature_3,0.01272568,0.0
Feature_3,0.0,0.0
Feature_3,0.005614871,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.68875015,0.0
Feature_3,-0.028639423,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.058491684,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.20125775,0.0
Feature_3,0.0,0.0
Feature_3,0.00579187,0.0
Feature_3,-0.06629656,0.0
Feature_3,0.0,0.5127491354942322
Feature_3,0.0,0.0
Feature_3,0.012104524,0.0
Feature_3,0.015333235,0.0
Feature_3,0.0,0.0
Feature_3,0.08190409,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.11035465,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.19003126,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.18274981,0.0
Feature_3,-0.009909421,0.0
Feature_3,0.0,0.0
Feature_3,0.0035591598,0.0
Feature_3,0.016921233,0.0
Feature_3,0.0035911836,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,-0.0012358547,0.0
Feature_3,0.0,0.0
Feature_3,0.03129653,0.0
Feature_3,-0.02401626,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,0.0,0.0
Feature_3,1.0036819,0.4240330457687378
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.46306777000427246
Feature_4,0.0,0.5855361223220825
Feature_4,-0.0037999882,0.0
Feature_4,-0.015682576,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,-0.108246624,1.5853342414533318
Feature_4,-0.33481294,1.0597232852506129
Feature_4,0.0195251,1.3416499133871715
Feature_4,-0.6546547,1.4259555041232588
Feature_4,1.2317225,1.1584105789557864
Feature_4,-0.15732646,0.9433026987717175
Feature_4,1.4816815,1.3331767576092308
Feature_4,3.8265257,0.8681165668755294
Feature_4,0.0,0.0
Feature_4,0.0,1.0
Feature_4,0.0,0.0
Feature_4,-0.16529967,0.0
Feature_4,0.07048051,1.0
Feature_4,0.14988486,0.0
Feature_4,0.021487016,0.0
Feature_4,-0.09076732,0.0
Feature_4,-0.054053478,0.0
Feature_4,0.018631455,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.03333705,0.0
Feature_4,0.041853346,0.0
Feature_4,0.0,0.0
Feature_4,-0.0017294579,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,-0.0126252575,0.0
Feature_4,0.020581026,0.0
Feature_4,0.055100776,0.0
Feature_4,0.0,0.0
Feature_4,0.005791884,0.0
Feature_4,0.0,0.0
